eprintid,date_type
119677,inpress
119286,inpress
121069,inpress
120696,inpress
121945,inpress
117979,inpress
51289,inpress
52083,inpress
56247,inpress
56245,inpress
52945,inpress
53845,inpress
54267,inpress
57198,inpress
58429,inpress
60226,inpress
60008,inpress
60037,inpress
60114,inpress
118971,inpress
65779,inpress
120704,inpress
120750,inpress
120749,inpress
69148,inpress
69444,inpress
69499,inpress
70177,inpress
71543,inpress
73365,inpress
73974,inpress
74665,inpress
77389,inpress
77576,inpress
77600,inpress
79281,inpress
79639,inpress
80061,inpress
80384,inpress
82062,inpress
82148,inpress
82246,inpress
82410,inpress
82616,inpress
83335,inpress
83383,inpress
85465,inpress
84230,inpress
84384,inpress
84403,inpress
84959,inpress
85132,inpress
85192,inpress
85355,inpress
85368,inpress
85369,inpress
85827,inpress
86969,inpress
86972,inpress
87868,inpress
87965,inpress
89393,inpress
89899,inpress
90054,inpress
90139,inpress
90279,inpress
91003,inpress
91173,inpress
91355,inpress
91889,inpress
91958,inpress
91980,inpress
92159,inpress
92502,inpress
93904,inpress
92778,inpress
94581,inpress
95139,inpress
97360,inpress
97731,inpress
97920,inpress
98263,inpress
98916,inpress
99982,inpress
101268,inpress
101660,inpress
101842,inpress
101902,inpress
102040,inpress
102050,inpress
102535,inpress
102670,inpress
103532,inpress
103703,inpress
103866,inpress
103890,inpress
103916,inpress
104478,inpress
104682,inpress
105381,inpress
105536,inpress
106068,inpress
106117,inpress
106475,inpress
106564,inpress
106804,inpress
107092,inpress
107219,inpress
107781,inpress
108147,inpress
108279,inpress
108690,inpress
109093,inpress
109696,inpress
109953,inpress
110110,inpress
110352,inpress
120700,inpress
120701,inpress
120703,inpress
110693,inpress
111200,inpress
114177,inpress
112070,inpress
112101,inpress
121093,inpress
112075,inpress
112142,inpress
112235,inpress
112596,inpress
112630,inpress
112748,inpress
112778,inpress
113029,inpress
113081,inpress
113219,inpress
113323,inpress
113406,inpress
113764,inpress
113858,inpress
113869,inpress
113888,inpress
113913,inpress
114011,inpress
114105,inpress
114122,inpress
114192,inpress
114202,inpress
114223,inpress
114236,inpress
114285,inpress
114297,inpress
114449,inpress
114653,inpress
114736,inpress
114801,inpress
114904,inpress
114970,inpress
115006,inpress
115096,inpress
115181,inpress
115189,inpress
115339,inpress
115342,inpress
115421,inpress
115392,inpress
115443,inpress
115816,inpress
115507,inpress
115518,inpress
115524,inpress
115551,inpress
115556,inpress
115646,inpress
115674,inpress
115697,inpress
115713,inpress
115751,inpress
115766,inpress
115796,inpress
115806,inpress
115839,inpress
115850,inpress
115851,inpress
115853,inpress
115854,inpress
115855,inpress
115937,inpress
115977,inpress
115997,inpress
115999,inpress
116032,inpress
116034,inpress
116035,inpress
116123,inpress
116152,inpress
116158,inpress
116161,inpress
116274,inpress
116171,inpress
116186,inpress
116215,inpress
116227,inpress
116228,inpress
116248,inpress
116254,inpress
116255,inpress
116256,inpress
116349,inpress
116353,inpress
116354,inpress
116396,inpress
116399,inpress
116401,inpress
116402,inpress
116424,inpress
116426,inpress
117895,inpress
118796,inpress
116693,inpress
116694,inpress
116691,inpress
116696,inpress
116687,inpress
116581,inpress
116588,inpress
117828,inpress
116898,inpress
116903,inpress
116912,inpress
117068,inpress
117077,inpress
117078,inpress
117027,inpress
117210,inpress
117229,inpress
117306,inpress
117311,inpress
117332,inpress
117343,inpress
117498,inpress
117565,inpress
117688,inpress
117706,inpress
117967,inpress
117968,inpress
118041,inpress
118154,inpress
118226,inpress
118248,inpress
118396,inpress
118515,inpress
118590,inpress
118645,inpress
118647,inpress
118649,inpress
118671,inpress
118993,inpress
118748,inpress
118750,inpress
118794,inpress
118795,inpress
118764,inpress
118845,inpress
118902,inpress
118904,inpress
118907,inpress
118914,inpress
119047,inpress
119065,inpress
119433,inpress
119437,inpress
119551,inpress
119555,inpress
119556,inpress
119563,inpress
119616,inpress
119877,inpress
119882,inpress
119883,inpress
120054,inpress
120075,inpress
120076,inpress
120181,inpress
120573,inpress
120574,inpress
120580,inpress
121302,inpress
121303,inpress
121354,inpress
121359,inpress
121374,inpress
121377,inpress
121386,inpress
121399,inpress
121402,inpress
121436,inpress
121503,inpress
121504,inpress
121508,inpress
122072,inpress
122073,inpress
121532,inpress
121536,inpress
121542,inpress
121566,inpress
121580,inpress
121630,inpress
121631,inpress
121632,inpress
121633,inpress
121634,inpress
121635,inpress
121663,inpress
121678,inpress
121688,inpress
121690,inpress
121727,inpress
121735,inpress
121755,inpress
121771,inpress
121779,inpress
122369,inpress
121947,inpress
121827,inpress
121828,inpress
122069,inpress
121897,inpress
122364,inpress
121889,inpress
121915,inpress
121903,inpress
121908,inpress
121909,inpress
121919,inpress
121922,inpress
121930,inpress
121934,inpress
122011,inpress
122007,inpress
122008,inpress
122009,inpress
122010,inpress
122045,inpress
122046,inpress
122065,inpress
122063,inpress
122074,inpress
122089,inpress
122090,inpress
122148,inpress
122149,inpress
122153,inpress
122155,inpress
122212,inpress
122215,inpress
122220,inpress
122243,inpress
122262,inpress
122263,inpress
122333,inpress
122336,inpress
122337,inpress
122338,inpress
122339,inpress
122340,inpress
122355,inpress
122375,inpress
122406,inpress
122407,inpress
122413,inpress
122418,inpress
122421,inpress
122436,inpress
122461,inpress
122462,inpress
122478,inpress
122543,inpress
122556,inpress
122557,inpress
